question,answer,platform,channel
VERTU META双曲屏的这款18GB+1TB奢品加密手机现在抢半价能省万元，多少钱啊？,53800.0元,domestic_jd,price
VERTU META这款全面屏的高端加密商务手机，12GB+1TB版本浅金款维罗纳绿现在什么价格？,36800.0元,domestic_jd,price
VERTU AGENT Q这款带直面屏的高端商务旗舰，有16GB+1TB大内存和三系统安全加密，马年款黑钢马鞍棕顺水纹的现在卖多少钱？,34800.0元,domestic_jd,price
VERTU量子AI小折叠屏手机丹凤橙鳄鱼皮款16GB+1TB的现在大额补贴价多少？这屏幕折叠起来也太有质感了，想看看具体多少钱。,49800.0元,domestic_jd,price
VERTU量子折叠屏这款16GB+1TB的火山红缠丝玛瑙旗舰机现在什么价格啊？,39800.0元,domestic_jd,price
VERTU META双曲屏的这款高端加密手机，12GB+512GB树莓红小牛皮版本现在抢半价能省万元，具体多少钱啊？,23800.0元,domestic_jd,price
VERTU Agent Q手机的屏幕尺寸和刷新率是多少？,6.02英寸120Hz柔性AMOLED屏。,domestic_jd,faq
VERTU AGENT Q手机的屏幕刷新率是多少？,VERTU AGENT Q手机配备120Hz柔性AMOLED屏幕，支持高达120Hz的刷新率，让滑动、游戏和视频播放更加流畅顺滑，显著提升操作体验。,domestic_jd,graph
VERTU Signature S卫星总裁手机有LCD屏幕吗？,有，该手机配备1.98英寸高清LCD触摸屏。,domestic_jd,faq
VERTU AGENT Q手机的屏幕尺寸是多少？,VERTU AGENT Q手机的屏幕尺寸为6.02英寸，采用一块6.02英寸的120Hz柔性AMOLED屏，带来细腻流畅的视觉体验。,domestic_jd,graph
VERTU Agent Q手机屏幕支持哪些特性？,搭载6.02英寸120Hz柔性AMOLED屏。,domestic_jd,faq
VERTU量子AI小折叠屏手机黄金V标玄铁黑鳄鱼皮款16GB+1TB现在大额补贴价多少钱？这屏幕的折叠质感和显示效果怎么样？,65800.0元,domestic_jd,price
